"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AB03"	"DA01"	"DA07"	"DA06_01"	"DA05"	"DA05_05"	"DA05_01"	"DA05_02"	"DA05_03"	"DA08"	"DA08_04"	"DA08_01"	"DA08_02"	"DA08_03"	"DA08_05"	"DA08_05a"	"DU03"	"DU08"	"DU10"	"DU09"	"DU06_CP"	"DU06"	"DU16"	"DU12"	"DU14"	"DU15"	"DU13"	"ZG01_CP"	"ZG01"	"ZG03_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME012"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
210			"base"	"interview"	2023-07-12 12:00:14																				7											4	25										29		2023-07-12 12:00:43	0	0	2	2	0	0	1,75	38
211			"base"	"interview"	2023-07-12 12:01:01	1	2	4	12	1	2	1	1	1	1	2	1	1	1	1		1	4		2	54	1	5	2		4	6	0	403	"HBFQ1GEF4GTE"	2	12	12	4	14	6	3	3	10	3	6	75		2023-07-12 12:02:16	1	0	12	12	0	0	2,52	95
212			"base"	"interview"	2023-07-12 12:27:40	1	3	-9		0	1	1	1	1	0	1	1	1	1	1		2		4	5	55	1	5	2		3	5	0	134	"QH8CNZKJ5QP2"	2	2	2	3	2	3	2	2	12	3	1	34		2023-07-12 12:28:14	1	0	12	12	31	30	2,88	253
213			"base"	"interview"	2023-07-12 12:28:23	1	-9	3		0	1	1	1	1	0	1	1	1	1	1		2		1	2	55	2	4	2		4	6	0	371	"O5DBDB34WSHS"	1	3	2	3	3	2	1	2	6	9		32		2023-07-12 12:28:55	0	0	10	10	31	30	2,76	298
216			"base"	"interview"	2023-07-12 16:50:26	1	1	4	2	2	1	2	1	2	1	1	2	1	1	1		2		2	6	77	1	4	2		4	5	0	192	"HRYV7NCZGL36"	72	87	25	15	74	20	5	6	42	15	16	301		2023-07-12 16:56:43	1	0	12	12	0	0	0,79	5
217			"base"	"interview"	2023-07-12 16:50:29	1	1	3	2	2	2	2	1	1	2	1	2	1	1	2	"FSJ, Vertretungslehrer"	2		3	6	56	1	2	2		3	6	0	6	"2H6Z3ZP2TD9K"	2	24	23	9	97	10	7	2	71	12	9	266		2023-07-12 16:54:55	1	0	12	12	0	0	1,46	33
219			"base"	"interview"	2023-07-12 16:50:31	1	1	4	2	2	2	2	1	1	1	1	1	1	1	2	"Betreuung in einer Schule "	2		4	2	58	1	4	2		4	6	0	390	"EKWDRYAU1XJH"	65	50	7	8	33	9	4	4	45	4	10	180		2023-07-12 16:54:30	1	0	12	12	0	0	1,4	24
220			"base"	"interview"	2023-07-12 16:50:38	1	2	3	2	1	2	1	1	1	1	1	1	1	1	2	"Praktikum, FSJ"	2		3	2	66	1	4	2		3	2	0	3	"VIVL6NBUUCSY"	86	34	22	15	37	18	12	4	52	4	21	225		2023-07-12 16:55:44	1	0	12	12	0	0	0,96	8
221			"base"	"interview"	2023-07-12 16:50:46	1	2	3	2	2	2	1	2	1	1	1	1	1	1	2	"FSJ ""Sport und Schule ""und Trainer "	2		3	5	63	1	4	2		4	3	0	19	"5X4GY914XIXH"	46	61	15	18	50	20	5	5	113	4	79	309		2023-07-12 16:57:42	1	0	12	12	0	0	0,84	6
222			"base"	"interview"	2023-07-12 16:50:50	2	2	4	2	2	2	1	2	1	1	2	1	1	1	1		1	4		6	61	2	3	1	4		6				62	28	18	19	44	11	8	5	53	7		199		2023-07-12 16:55:05	1	0	10	10	0	0	1,01	9
